subj,setsize,cond,rt,acc,lm,log,exp,grp
8,16,within,0.679745909,0.916666667,0.913758222,0.752504311,exp1a,18
9,1,between,0.571913333,1,0.525233525,0.523400375,exp1a,19
9,1,within,0.577315417,1,0.521123602,0.518018703,exp1a,19
9,2,between,0.465591042,1,0.537459062,0.547035958,exp1a,19
9,2,within,0.502846618,0.944444444,0.54634158,0.566321596,exp1a,19
9,4,between,0.5880225,1,0.561910134,0.570671542,exp1a,19
9,4,within,0.563684306,1,0.596777538,0.61462449,exp1a,19
9,8,between,0.609888125,1,0.610812279,0.594307125,exp1a,19
9,8,within,0.718045833,1,0.697649453,0.662927384,exp1a,19
9,16,between,0.615004167,1,0.708616569,0.617942708,exp1a,19
9,16,within,0.681252286,0.972222222,0.899393284,0.711230278,exp1a,19
10,1,between,0.383916667,1,0.374148335,0.375175518,exp1a,20
10,1,within,0.405916667,1,0.421407453,0.414279365,exp1a,20
10,2,between,0.371125,1,0.376715913,0.379197955,exp1a,20
10,2,within,0.466638889,1,0.430941287,0.436510119,exp1a,20
10,4,between,0.373142857,0.875,0.381851069,0.383220393,exp1a,20
10,4,within,0.423571429,0.777777778,0.450008954,0.458740873,exp1a,20
10,8,between,0.396652174,0.958333333,0.392121381,0.387242831,exp1a,20
10,8,within,0.494375,0.888888889,0.488144289,0.480971627,exp1a,20
10,16,between,0.416916667,1,0.412662006,0.391265269,exp1a,20
10,16,within,0.537033333,0.833333333,0.564414959,0.503202381,exp1a,20
11,1,between,0.437784167,1,0.455570087,0.450074973,exp1a,21
11,1,within,0.469853429,0.972222222,0.503266325,0.48510223,exp1a,21
11,2,between,0.4657325,0.916666667,0.455981565,0.454492758,exp1a,21
11,2,within,0.516980455,0.916666667,0.512315006,0.513800875,exp1a,21
11,4,between,0.473303478,0.958333333,0.45680452,0.458910543,exp1a,21
11,4,within,0.581886765,0.944444444,0.530412368,0.54249952,exp1a,21
11,8,between,0.449986458,1,0.458450431,0.463328329,exp1a,21
11,8,within,0.543880143,0.972222222,0.566607091,0.571198166,exp1a,21
11,16,between,0.483673261,0.958333333,0.461742253,0.467746114,exp1a,21
11,16,within,0.595560714,0.972222222,0.638996538,0.599896811,exp1a,21
12,1,between,0.373205217,0.958333333,0.407897994,0.39185687,exp1a,22
12,1,within,0.526238182,0.916666667,0.506221881,0.505922438,exp1a,22
12,2,between,0.454395,1,0.419669623,0.424132272,exp1a,22
12,2,within,0.497265735,0.944444444,0.513824392,0.520060003,exp1a,22
12,4,between,0.451837174,0.958333333,0.44321288,0.456407674,exp1a,22
12,4,within,0.518838871,0.861111111,0.529029413,0.534197568,exp1a,22
12,8,between,0.4816425,1,0.490299394,0.488683076,exp1a,22
12,8,within,0.566172353,0.944444444,0.559439455,0.548335133,exp1a,22
12,16,between,0.511095435,0.958333333,0.584472422,0.520958478,exp1a,22
12,16,within,0.551687656,0.888888889,0.620259541,0.562472698,exp1a,22
13,1,between,0.520086957,0.958333333,0.519819282,0.520867391,exp1a,23
13,1,within,0.511647059,0.944444444,0.528826365,0.516055462,exp1a,23
13,2,between,0.523125,1,0.519287665,0.519194022,exp1a,23
13,2,within,0.552942857,0.972222222,0.540527702,0.546021849,exp1a,23
13,4,between,0.512,0.958333333,0.518224433,0.517520652,exp1a,23
