cate,subCate,stimulus,markCode,dur,acc,markCodeResp,rt,resp,onsetT,setsize,subj,age,sex,handed
Animals,beast,Stimuli/Animals/beast/beast_07.jpg,1,2.3,1,55,0,,525.5412487,1,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_07.jpg,1,2.3,1,55,0,,528.0585306,1,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/sl_tasklight_2l3w.jpg,2,2.3,1,55,0,,530.5739323,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_06.jpg,1,2.3,1,55,0,,533.0914417,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_02.jpg,1,1.8,1,55,0,,535.6072991,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_07.jpg,1,1.8,1,55,0,,537.6251251,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_01.jpg,1,1.8,1,55,0,,539.6430774,1,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle30.jpg,2,1.8,1,55,0,,541.6607849,1,1,30,F,L
num,num,40,9,1.8,1,97,0.5549385,f,543.6773492,1,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_08.jpg,1,1.8,1,55,0,,545.6889708,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO14.jpg,2,1.8,1,55,0,,547.7040252,1,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/freeplay-jonta-flashlight.jpg,2,1.8,1,55,0,,549.7204746,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_02.jpg,1,2.3,1,55,0,,551.7377168,1,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/ABONGO8.jpg,2,2.3,1,55,0,,554.2548617,1,1,30,F,L
Animals,crustacea,Stimuli/Animals/crustacea/crustacea_02.jpg,1,2.3,1,55,0,,556.7717294,1,1,30,F,L
Objects,abacus,Stimuli/Objects/abacus/ab69.jpg,2,2.3,1,55,0,,559.2891675,1,1,30,F,L
Objects,ceilingfan,Stimuli/Objects/ceilingfan/1414c675-de2c-42cd-861f-023079543b17_300.jpg,2,1.8,1,55,0,,561.8057113,1,1,30,F,L
Objects,pitcher,Stimuli/Objects/pitcher/APITCHER.jpg,2,1.8,1,55,0,,563.8208754,1,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/Flashlight.jpg,2,2.3,1,55,0,,565.8373128,1,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_08.jpg,1,2.3,1,55,0,,568.3524953,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_05.jpg,1,1.8,1,55,0,,570.8675258,1,1,30,F,L
Animals,wolf,Stimuli/Animals/wolf/wolf_09.jpg,1,2.3,1,55,0,,572.8848025,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/cuillere-africaine-dan-ca.jpg,2,1.8,1,55,0,,575.4017106,1,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_15.jpg,1,2.3,1,55,0,,577.4196781,1,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26461075.thl.jpg,2,2.3,1,55,0,,579.93742,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_04.jpg,1,2.3,1,55,0,,582.4555474,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_09.jpg,1,2.3,1,55,0,,584.9708203,1,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/Hairbrush.jpg,2,1.8,1,55,0,,587.486332,1,1,30,F,L
num,num,26,9,1.8,1,97,0.6459644,f,589.5002033,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_16.jpg,1,2.3,1,55,0,,591.5108701,1,1,30,F,L
Objects,makeupcompact,Stimuli/Objects/makeupcompact/b_y10133.jpg,2,1.8,1,55,0,,594.0284214,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/pot25.jpg,2,2.3,1,55,0,,596.0437751,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_15.jpg,1,1.8,1,55,0,,598.5609581,1,1,30,F,L
num,num,19,9,2.3,1,97,0.4872572,f,600.5748394,1,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_16.jpg,1,1.8,1,55,0,,603.0833224,1,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_06.jpg,1,2.3,1,55,0,,605.0985224,1,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/motorcycle14.jpg,2,2.3,1,55,0,,607.6164948,1,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_11.jpg,1,1.8,1,55,0,,610.1341238,1,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_15.jpg,1,1.8,1,55,0,,612.1520634,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_11.jpg,1,2.3,1,55,0,,614.1704271,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_12.jpg,1,1.8,1,55,0,,616.6873946,1,1,30,F,L
Objects,flashlight,Stimuli/Objects/flashlight/freeplay-xray-wind-up-led-flashlight.jpg,2,1.8,1,55,0,,618.7025601,1,1,30,F,L
num,num,50,9,1.8,1,97,0.632872,f,620.7161258,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/26378610.thl.jpg,2,2.3,1,55,0,,622.7270646,1,1,30,F,L
Animals,deer,Stimuli/Animals/deer/deer_11.jpg,1,1.8,1,55,0,,625.2441555,1,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_10.jpg,1,1.8,1,55,0,,627.2609609,1,1,30,F,L
Objects,glove,Stimuli/Objects/glove/Awinterglov14.jpg,2,2.3,1,55,0,,629.2783736,1,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_07.jpg,1,1.8,1,55,0,,631.7962976,1,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/26390663.thl.jpg,2,1.8,1,55,0,,633.8135013,1,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/ACOOKPO51.jpg,2,1.8,1,55,0,,635.8286733,1,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_13.jpg,1,1.8,1,55,0,,637.8439376,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/cuillere_balance_digitale_verte.jpg,2,2.3,1,55,0,,639.8609261,1,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/22945915.thl.jpg,2,1.8,1,55,0,,642.3772561,1,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/spoonr.jpg,2,1.8,1,55,0,,644.393735,1,1,30,F,L
Objects,motorcycle,Stimuli/Objects/motorcycle/hawkgt-red-lrg.jpg,2,2.3,1,55,0,,646.4104962,1,1,30,F,L
Animals,beast,Stimuli/Animals/beast/beast_03.jpg,1,1.8,1,55,0,,648.9244872,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_08.jpg,1,1.8,1,55,0,,650.9401079,1,1,30,F,L
Objects,camcorder,Stimuli/Objects/camcorder/Camcorder.jpg,2,2.3,1,55,0,,652.9552405,1,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_17.jpg,1,2.3,1,55,0,,1037.999117,2,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_08.jpg,1,2.3,1,55,0,,1040.514147,2,1,30,F,L
num,num,91,9,2.3,1,97,0.515138,f,1043.029558,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_15.jpg,1,1.8,1,55,0,,1045.537743,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_05.jpg,1,2.3,1,55,0,,1047.554366,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/33r.jpg,2,1.8,1,55,0,,1050.069652,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/ABONGO8.jpg,2,2.3,1,55,0,,1052.08539,2,1,30,F,L
Objects,makeupcompact,Stimuli/Objects/makeupcompact/b_y10133.jpg,2,1.8,1,55,0,,1054.601927,2,1,30,F,L
Animals,crustacea,Stimuli/Animals/crustacea/crustacea_02.jpg,1,2.3,1,55,0,,1056.61701,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_07.jpg,1,2.3,1,55,0,,1059.132066,2,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_05.jpg,1,1.8,1,55,0,,1061.647523,2,1,30,F,L
Animals,poultry,Stimuli/Animals/poultry/poultry_11.jpg,1,1.8,1,55,0,,1063.663097,2,1,30,F,L
num,num,68,9,2.3,1,97,0.6813327,f,1065.678523,2,1,30,F,L
Animals,frog,Stimuli/Animals/frog/frog_01.jpg,1,1.8,1,55,0,,1068.188271,2,1,30,F,L
num,num,28,9,2.3,1,97,0.7327286,f,1070.202877,2,1,30,F,L
num,num,44,9,2.3,1,97,0.5522445,f,1072.711321,2,1,30,F,L
Animals,reptile,Stimuli/Animals/reptile/reptile_16.jpg,1,1.8,1,55,0,,1075.221452,2,1,30,F,L
Objects,hairbrush,Stimuli/Objects/hairbrush/hairbrush34.jpg,2,2.3,1,55,0,,1077.237375,2,1,30,F,L
Animals,suiformes,Stimuli/Animals/suiformes/suiformes_09.jpg,1,1.8,1,55,0,,1079.752662,2,1,30,F,L
Animals,primate,Stimuli/Animals/primate/primate_10.jpg,1,2.3,1,55,0,,1081.767432,2,1,30,F,L
num,num,54,9,1.8,1,97,0.5169656,f,1084.281592,2,1,30,F,L
num,num,11,9,2.3,1,97,0.4567606,f,1086.289785,2,1,30,F,L
Animals,panthera,Stimuli/Animals/panthera/panthera_14.jpg,1,1.8,1,55,0,,1088.799755,2,1,30,F,L
Objects,spoon,Stimuli/Objects/spoon/cuillere_balance_digitale_verte.jpg,2,2.3,1,55,0,,1090.815237,2,1,30,F,L
Objects,bongo,Stimuli/Objects/bongo/22946035.thl.jpg,2,2.3,1,55,0,,1093.330435,2,1,30,F,L
Animals,hoofed,Stimuli/Animals/hoofed/hoofed_11.jpg,1,1.8,1,55,0,,1095.845869,2,1,30,F,L
Objects,cookpot,Stimuli/Objects/cookpot/pot25.jpg,2,2.3,1,55,0,,1097.860976,2,1,30,F,L
Objects,abacus,Stimuli/Objects/abacus/ab69.jpg,2,2.3,1,55,0,,1100.377005,2,1,30,F,L
Animals,seashell,Stimuli/Animals/seashell/seashell_07.jpg,1,1.8,1,55,0,,1102.892207,2,1,30,F,L
Animals,marsupialia_australia,Stimuli/Animals/marsupialia_australia/marsupialia_04.jpg,1,2.3,1,55,0,,1104.907351,2,1,30,F,L
Animals,horse,Stimuli/Animals/horse/horse_11.jpg,1,2.3,1,55,0,,1107.423478,2,1,30,F,L
